station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,is_charging_station,rental_methods,groups,obcn,nearby_distance,_ride_code_support,cross_street
2,002 - Retiro I,SMARTLITMAPFRAME,-34.59242413,-58.37470989,0.0,AV. Dr. José María Ramos Mejía 1300,11111,39,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RETIRO'],,1000.0,True,
3,003 - ADUANA,SMARTLITMAPFRAME,-34.61220714255728,-58.36912906378899,0.0,Av. Paseo Colón 380,C1063,28,False,"['KEY', 'TRANSITCARD', 'PHONE']",['MONSERRAT'],,1000.0,True,.
4,004 - Plaza Roma,SMARTLITMAPFRAME,-34.6030082348981,-58.36885646243477,0.0,Av. Corrientes 100,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,1000.0,True,
5,005 - Plaza Italia,SMARTLITMAPFRAME,-34.5805497,-58.4209542,0.0,Av. Sarmiento 2601,1111,42,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,1000.0,True,
6,006 - Parque Lezama,SMARTLITMAPFRAME,-34.628526,-58.369758,0.0,"Avenida Martin Garcia, 295",1111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN TELMO'],,1000.0,True,
7,007 - OBELISCO,SMARTLITMAPFRAME,-34.606498,-58.381098,0.0,CARLOS PELEGRINI 215,11111,24,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,1000.0,True,CARLOS PELEGRINI 215
8,008 - Congreso,SMARTLITMAPFRAME,-34.6094218,-58.3893364,0.0,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",11111,24,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,1000.0,True,
9,009 - Parque Las Heras,SMARTLITMAPFRAME,-34.585443,-58.407741,0.0,"2300 Diaz, Cnel. Av. & French",11111,24,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,1000.0,True,
12,012 - Plaza Vicente Lopez,SMARTLITMAPFRAME,-34.5927096,-58.388807,0.0,Parana & Juncal,11111,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,1000.0,True,
13,013 - ONCE,SMARTLITMAPFRAME,-34.61009,-58.406,0.0,Av. Pueyrredon & Av. Rivadavia,1111,30,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],,1000.0,True,Av. Pueyrredon & Av. Rivadavia
14,014 - Pacifico,SMARTLITMAPFRAME,-34.577424,-58.426387,0.0,"Santa Fe Av. & Bullrich, Int. Av.",11111,30,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,1000.0,True,
