station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,status,last_refresh
2,3,1,35,0,2024-04-23 19:57:26,IN_SERVICE,2024-04-23 22:58:01.803874
3,1,3,24,0,2024-04-23 19:57:20,IN_SERVICE,2024-04-23 22:58:01.803874
4,0,3,17,0,2024-04-23 19:54:49,IN_SERVICE,2024-04-23 22:58:01.803874
5,1,1,40,0,2024-04-23 19:57:34,IN_SERVICE,2024-04-23 22:58:01.803874
6,3,0,17,0,2024-04-23 19:56:33,IN_SERVICE,2024-04-23 22:58:01.803874
7,1,0,23,0,2024-04-23 19:55:16,IN_SERVICE,2024-04-23 22:58:01.803874
8,0,1,23,0,2024-04-23 19:55:16,IN_SERVICE,2024-04-23 22:58:01.803874
9,10,3,11,0,2024-04-23 19:55:00,IN_SERVICE,2024-04-23 22:58:01.803874
12,1,0,15,0,2024-04-23 19:57:36,IN_SERVICE,2024-04-23 22:58:01.803874
13,0,3,27,0,2024-04-23 19:52:17,IN_SERVICE,2024-04-23 22:58:01.803874
14,1,3,26,0,2024-04-23 19:55:55,IN_SERVICE,2024-04-23 22:58:01.803874
17,3,2,15,0,2024-04-23 19:56:01,IN_SERVICE,2024-04-23 22:58:01.803874
18,0,0,0,0,,END_OF_LIFE,2024-04-23 22:58:01.803874
21,7,0,17,0,2024-04-23 13:50:44,IN_SERVICE,2024-04-23 22:58:01.803874
22,0,0,20,0,2024-04-23 19:56:09,IN_SERVICE,2024-04-23 22:58:01.803874
23,0,2,10,0,2024-04-23 19:55:58,IN_SERVICE,2024-04-23 22:58:01.803874
24,0,0,18,0,2024-04-23 19:56:49,IN_SERVICE,2024-04-23 22:58:01.803874
25,3,1,26,0,2024-04-23 19:55:34,IN_SERVICE,2024-04-23 22:58:01.803874
26,10,0,20,0,2024-04-23 19:57:01,IN_SERVICE,2024-04-23 22:58:01.803874
27,0,6,14,0,2024-04-23 19:57:20,IN_SERVICE,2024-04-23 22:58:01.803874
29,3,1,26,0,2024-04-23 19:57:16,IN_SERVICE,2024-04-23 22:58:01.803874
32,0,0,18,0,2024-04-23 19:55:16,IN_SERVICE,2024-04-23 22:58:01.803874
33,1,0,19,0,2024-04-23 19:56:53,IN_SERVICE,2024-04-23 22:58:01.803874
34,0,0,0,0,,END_OF_LIFE,2024-04-23 22:58:01.803874
35,0,3,29,0,2024-04-23 19:56:22,IN_SERVICE,2024-04-23 22:58:01.803874
36,0,2,10,0,2024-04-23 19:55:12,IN_SERVICE,2024-04-23 22:58:01.803874
38,0,0,20,0,2024-04-23 19:56:34,IN_SERVICE,2024-04-23 22:58:01.803874
41,0,5,15,0,2024-04-23 19:55:46,IN_SERVICE,2024-04-23 22:58:01.803874
43,11,2,15,0,2024-04-23 19:55:32,IN_SERVICE,2024-04-23 22:58:01.803874
45,0,5,15,0,2024-04-23 19:55:56,IN_SERVICE,2024-04-23 22:58:01.803874
46,0,3,15,0,2024-04-23 19:56:56,IN_SERVICE,2024-04-23 22:58:01.803874
48,4,6,4,0,2024-04-23 19:57:24,IN_SERVICE,2024-04-23 22:58:01.803874
49,10,4,2,0,2024-04-23 19:57:27,IN_SERVICE,2024-04-23 22:58:01.803874
50,14,5,1,0,2024-04-23 19:56:07,IN_SERVICE,2024-04-23 22:58:01.803874
51,0,1,11,0,2024-04-23 19:54:58,IN_SERVICE,2024-04-23 22:58:01.803874
54,4,4,12,0,2024-04-23 19:55:12,IN_SERVICE,2024-04-23 22:58:01.803874
56,3,1,16,0,2024-04-23 19:54:54,IN_SERVICE,2024-04-23 22:58:01.803874
57,0,5,7,0,2024-04-23 19:55:05,IN_SERVICE,2024-04-23 22:58:01.803874
58,3,2,15,0,2024-04-23 19:55:27,IN_SERVICE,2024-04-23 22:58:01.803874
59,0,3,17,0,2024-04-23 19:56:55,IN_SERVICE,2024-04-23 22:58:01.803874
60,0,2,18,0,2024-04-23 19:56:36,IN_SERVICE,2024-04-23 22:58:01.803874
61,2,0,10,0,2024-04-23 16:50:51,IN_SERVICE,2024-04-23 22:58:01.803874
63,0,0,28,0,2024-04-23 19:55:04,IN_SERVICE,2024-04-23 22:58:01.803874
64,1,2,17,0,2024-04-23 19:57:15,IN_SERVICE,2024-04-23 22:58:01.803874
65,3,3,14,0,2024-04-23 19:50:59,IN_SERVICE,2024-04-23 22:58:01.803874
66,5,0,15,0,2024-04-23 19:57:15,IN_SERVICE,2024-04-23 22:58:01.803874
67,0,0,0,0,,END_OF_LIFE,2024-04-23 22:58:01.803874
68,0,1,15,0,2024-04-23 19:57:14,IN_SERVICE,2024-04-23 22:58:01.803874
69,1,2,13,0,2024-04-23 19:54:57,IN_SERVICE,2024-04-23 22:58:01.803874
70,0,1,23,0,2024-04-23 19:56:40,IN_SERVICE,2024-04-23 22:58:01.803874
71,1,2,27,0,2024-04-23 19:57:40,IN_SERVICE,2024-04-23 22:58:01.803874
73,7,6,7,0,2024-04-23 19:57:31,IN_SERVICE,2024-04-23 22:58:01.803874
74,6,2,22,0,2024-04-23 19:55:59,IN_SERVICE,2024-04-23 22:58:01.803874
75,0,5,15,0,2024-04-23 19:54:51,IN_SERVICE,2024-04-23 22:58:01.803874
76,2,3,15,0,2024-04-23 19:56:47,IN_SERVICE,2024-04-23 22:58:01.803874
77,3,0,13,0,2024-04-23 19:55:24,IN_SERVICE,2024-04-23 22:58:01.803874
79,1,3,26,0,2024-04-23 19:55:26,IN_SERVICE,2024-04-23 22:58:01.803874
80,3,5,4,0,2024-04-23 19:57:35,IN_SERVICE,2024-04-23 22:58:01.803874
82,2,3,15,0,2024-04-23 19:55:48,IN_SERVICE,2024-04-23 22:58:01.803874
83,1,6,21,0,2024-04-23 19:55:14,IN_SERVICE,2024-04-23 22:58:01.803874
85,1,0,19,0,2024-04-23 19:57:30,IN_SERVICE,2024-04-23 22:58:01.803874
86,3,0,17,0,2024-04-23 19:57:22,IN_SERVICE,2024-04-23 22:58:01.803874
87,2,1,13,0,2024-04-23 19:57:13,IN_SERVICE,2024-04-23 22:58:01.803874
89,6,2,12,0,2024-04-23 19:57:33,IN_SERVICE,2024-04-23 22:58:01.803874
91,1,1,21,0,2024-04-23 19:56:53,IN_SERVICE,2024-04-23 22:58:01.803874
92,16,1,3,0,2024-04-23 19:54:52,IN_SERVICE,2024-04-23 22:58:01.803874
93,1,0,19,0,2024-04-23 16:00:07,IN_SERVICE,2024-04-23 22:58:01.803874
94,1,2,27,0,2024-04-23 19:56:13,IN_SERVICE,2024-04-23 22:58:01.803874
96,0,8,8,0,2024-04-23 19:57:33,IN_SERVICE,2024-04-23 22:58:01.803874
98,0,0,16,0,2024-04-23 19:55:09,IN_SERVICE,2024-04-23 22:58:01.803874
99,10,2,7,0,2024-04-23 19:56:59,IN_SERVICE,2024-04-23 22:58:01.803874
100,0,0,0,0,,END_OF_LIFE,2024-04-23 22:58:01.803874
101,2,0,18,0,2024-04-23 19:57:26,IN_SERVICE,2024-04-23 22:58:01.803874
102,4,2,14,0,2024-04-23 19:57:12,IN_SERVICE,2024-04-23 22:58:01.803874
103,0,0,0,0,,END_OF_LIFE,2024-04-23 22:58:01.803874
104,2,1,27,0,2024-04-23 19:56:59,IN_SERVICE,2024-04-23 22:58:01.803874
107,1,0,15,0,2024-04-23 19:56:09,IN_SERVICE,2024-04-23 22:58:01.803874
111,0,5,25,0,2024-04-23 19:55:26,IN_SERVICE,2024-04-23 22:58:01.803874
